,city,company,level,location,state,title,coordinates
1138.0,Austin,General Motors,midlevel,"Austin, TX",TX,Data Scientist,"(30.2711286, -97.7436994)"
1139.0,Austin,General Motors,midlevel,"Austin, TX",TX,Data Scientist,"(30.2711286, -97.7436994)"
114.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1140.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1141.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1142.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1143.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1144.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1145.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1146.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1147.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1148.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1149.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
115.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1150.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1151.0,Austin,General Motors,midlevel,"Austin, TX",TX,Data Scientist,"(30.2711286, -97.7436994)"
1152.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1153.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1154.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1155.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1156.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1157.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1158.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1159.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
116.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1160.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1161.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1162.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
1163.0,Austin,General Motors,midlevel,"Austin, TX",TX,Data Scientist,"(30.2711286, -97.7436994)"
1164.0,San Jose,Ariosa Diagnostics,midlevel,"San Jose, CA",CA,Data Scientist,"(37.3361905, -121.8905832)"
1165.0,San Francisco,Indeed,midlevel,"San Francisco, CA",CA,Data Scientist,"(37.7792808, -122.4192362)"
